"","Model","InOutSample","Location","Denomination","fh","MAPE"
"259","ARIMA","Out Sample","Surabaya","K10000",8,100.0311684077
"260","ARIMA","Out Sample","Surabaya","K10000",9,96.9205703155525
"261","ARIMA","Out Sample","Surabaya","K10000",10,91.6987901386148
"262","ARIMA","Out Sample","Surabaya","K10000",11,156.309178204119
"263","ARIMA","Out Sample","Surabaya","K10000",12,244.008702736725
"264","ARIMA","Out Sample","Surabaya","K10000",13,289.530055667674
"265","ARIMA","Out Sample","Surabaya","K10000",14,278.178418503344
"266","ARIMA","Out Sample","Surabaya","K10000",15,288.816918581602
"267","ARIMA","Out Sample","Surabaya","K10000",16,273.600170430894
"268","ARIMA","Out Sample","Surabaya","K10000",17,259.533017118056
"269","ARIMA","Out Sample","Surabaya","K10000",18,246.155559711657
"270","ARIMA","Out Sample","Surabaya","K10000",19,236.683349668467
"271","ARIMA","Out Sample","Surabaya","K10000",20,227.768463357721
"272","ARIMA","Out Sample","Surabaya","K10000",21,220.729972427886
"273","ARIMA","Out Sample","Surabaya","K10000",22,212.467759217188
"274","ARIMA","Out Sample","Surabaya","K10000",23,271.226258111108
"275","ARIMA","Out Sample","Surabaya","K10000",24,280.391432330458
"276","ARIMA","In Sample","Surabaya","K5000",0,87.8161860993188
"277","ARIMA","Out Sample","Surabaya","K5000",1,654.727836500739
"278","ARIMA","Out Sample","Surabaya","K5000",2,388.26026234075
"279","ARIMA","Out Sample","Surabaya","K5000",3,340.564173880039
"280","ARIMA","Out Sample","Surabaya","K5000",4,426.700433855721
"281","ARIMA","Out Sample","Surabaya","K5000",5,380.634945276128
"282","ARIMA","Out Sample","Surabaya","K5000",6,332.486879369733
"283","ARIMA","Out Sample","Surabaya","K5000",7,285.175102182618
"284","ARIMA","Out Sample","Surabaya","K5000",8,250.850195574403
"285","ARIMA","Out Sample","Surabaya","K5000",9,228.836559284166
"286","ARIMA","Out Sample","Surabaya","K5000",10,209.25357719662
"287","ARIMA","Out Sample","Surabaya","K5000",11,361.357666859581
"288","ARIMA","Out Sample","Surabaya","K5000",12,553.503937773048
"289","ARIMA","Out Sample","Surabaya","K5000",13,686.669699145745
"290","ARIMA","Out Sample","Surabaya","K5000",14,676.269357056934
"291","ARIMA","Out Sample","Surabaya","K5000",15,752.097849687013
"292","ARIMA","Out Sample","Surabaya","K5000",16,723.050470274611
"293","ARIMA","Out Sample","Surabaya","K5000",17,708.367341012031
"294","ARIMA","Out Sample","Surabaya","K5000",18,678.492429818521
"295","ARIMA","Out Sample","Surabaya","K5000",19,644.181981362833
"296","ARIMA","Out Sample","Surabaya","K5000",20,613.917611204753
"297","ARIMA","Out Sample","Surabaya","K5000",21,588.66385269282
"298","ARIMA","Out Sample","Surabaya","K5000",22,565.018281955465
"299","ARIMA","Out Sample","Surabaya","K5000",23,708.714441729926
"300","ARIMA","Out Sample","Surabaya","K5000",24,742.839470605827
"301","ARIMA","In Sample","Surabaya","K2000",0,814.66305240944
"302","ARIMA","Out Sample","Surabaya","K2000",1,1264.88651452519
"303","ARIMA","Out Sample","Surabaya","K2000",2,2677.00145371737
"304","ARIMA","Out Sample","Surabaya","K2000",3,2434.11296028622
"305","ARIMA","Out Sample","Surabaya","K2000",4,2190.75122855293
"306","ARIMA","Out Sample","Surabaya","K2000",5,2014.55665020398
"307","ARIMA","Out Sample","Surabaya","K2000",6,1692.21375083365
"308","ARIMA","Out Sample","Surabaya","K2000",7,1465.81128739034
"309","ARIMA","Out Sample","Surabaya","K2000",8,1297.57498664991
"310","ARIMA","Out Sample","Surabaya","K2000",9,1158.45408954138
"311","ARIMA","Out Sample","Surabaya","K2000",10,1047.74320759625
"312","ARIMA","Out Sample","Surabaya","K2000",11,956.03222746777
"313","ARIMA","Out Sample","Surabaya","K2000",12,877.869826803097
"314","ARIMA","Out Sample","Surabaya","K2000",13,1239.4136735592
"315","ARIMA","Out Sample","Surabaya","K2000",14,1462.12660325085
"316","ARIMA","Out Sample","Surabaya","K2000",15,1542.94519894797
"317","ARIMA","Out Sample","Surabaya","K2000",16,1585.81157334507
"318","ARIMA","Out Sample","Surabaya","K2000",17,1567.96222055774
"319","ARIMA","Out Sample","Surabaya","K2000",18,1484.13314239722
"320","ARIMA","Out Sample","Surabaya","K2000",19,1426.0369071424
"321","ARIMA","Out Sample","Surabaya","K2000",20,1364.09748325815
"322","ARIMA","Out Sample","Surabaya","K2000",21,1306.14605025224
"323","ARIMA","Out Sample","Surabaya","K2000",22,1254.03941239484
"324","ARIMA","Out Sample","Surabaya","K2000",23,1202.55251258317
"325","ARIMA","Out Sample","Surabaya","K2000",24,1152.73062062649
"326","ARIMA","In Sample","Surabaya","K1000",0,184.426392663222
"327","ARIMA","Out Sample","Surabaya","K1000",1,1693.27873961014
"328","ARIMA","Out Sample","Surabaya","K1000",2,1188.64902406656
"329","ARIMA","Out Sample","Surabaya","K1000",3,1138.06114890069
"330","ARIMA","Out Sample","Surabaya","K1000",4,936.57587772556
"331","ARIMA","Out Sample","Surabaya","K1000",5,853.24074509894
"332","ARIMA","Out Sample","Surabaya","K1000",6,732.937987077043
"333","ARIMA","Out Sample","Surabaya","K1000",7,690.997847267426
"334","ARIMA","Out Sample","Surabaya","K1000",8,691.8885578317
"335","ARIMA","Out Sample","Surabaya","K1000",9,690.378249364122
"336","ARIMA","Out Sample","Surabaya","K1000",10,626.851074633555
"337","ARIMA","Out Sample","Surabaya","K1000",11,991.790458502658
"338","ARIMA","Out Sample","Surabaya","K1000",12,1121.58771226339
"339","ARIMA","Out Sample","Surabaya","K1000",13,1277.358416411
"340","ARIMA","Out Sample","Surabaya","K1000",14,1449.79803521929
"341","ARIMA","Out Sample","Surabaya","K1000",15,1676.20276742784
"342","ARIMA","Out Sample","Surabaya","K1000",16,1807.77076536236
"343","ARIMA","Out Sample","Surabaya","K1000",17,1920.15449274907
"344","ARIMA","Out Sample","Surabaya","K1000",18,1952.1746905331
"345","ARIMA","Out Sample","Surabaya","K1000",19,1976.85122731494
"346","ARIMA","Out Sample","Surabaya","K1000",20,2044.79317674873
"347","ARIMA","Out Sample","Surabaya","K1000",21,1951.19236515215
"348","ARIMA","Out Sample","Surabaya","K1000",22,1863.10619839326
"349","ARIMA","Out Sample","Surabaya","K1000",23,1933.33813433116
"350","ARIMA","Out Sample","Surabaya","K1000",24,1988.97928244686
"351","ARIMA","In Sample","Bandung","K100000",0,643.439839305551
"352","ARIMA","Out Sample","Bandung","K100000",1,40.7071637166414
"353","ARIMA","Out Sample","Bandung","K100000",2,77.6111738718457
"354","ARIMA","Out Sample","Bandung","K100000",3,70.2173534281756
"355","ARIMA","Out Sample","Bandung","K100000",4,72.763394687301
"356","ARIMA","Out Sample","Bandung","K100000",5,61.1520894231474
"357","ARIMA","Out Sample","Bandung","K100000",6,70.5799492248975
"358","ARIMA","Out Sample","Bandung","K100000",7,75.9170239659512
"359","ARIMA","Out Sample","Bandung","K100000",8,77.5836513586442
"360","ARIMA","Out Sample","Bandung","K100000",9,81.5068045109093
"361","ARIMA","Out Sample","Bandung","K100000",10,81.0314909618386
"362","ARIMA","Out Sample","Bandung","K100000",11,82.3010080763948
"363","ARIMA","Out Sample","Bandung","K100000",12,77.2702730015537
"364","ARIMA","Out Sample","Bandung","K100000",13,102.023464238052
"365","ARIMA","Out Sample","Bandung","K100000",14,102.018950575884
"366","ARIMA","Out Sample","Bandung","K100000",15,97.4961418649357
"367","ARIMA","Out Sample","Bandung","K100000",16,96.9424113240945
"368","ARIMA","Out Sample","Bandung","K100000",17,92.3234056706645
"369","ARIMA","Out Sample","Bandung","K100000",18,99.3729490292583
"370","ARIMA","Out Sample","Bandung","K100000",19,102.489256221299
"371","ARIMA","Out Sample","Bandung","K100000",20,106.836281039449
"372","ARIMA","Out Sample","Bandung","K100000",21,102.497106021998
