Flow,Model,Location,Denomination,linearmodel,Lags
Inflow,ARIMA-Individual,Jember,K10000,"ARIMA(4,0,0)(2,0,1)[12] with non-zero mean",1 2 3 4 12 13 14 15 16 24 25 26 27 28
Inflow,ARIMAX-Individual,Jember,K10000,"Regression with ARIMA(1,0,1)(2,0,0)[12] errors",1 12 13 24 25
Inflow,ARIMA-Individual,Jember,K5000,"ARIMA(2,0,2)(1,0,1)[12] with non-zero mean",1 2 12 13 14
Inflow,ARIMAX-Individual,Jember,K5000,"Regression with ARIMA(1,0,1)(2,0,0)[12] errors",1 12 13 24 25
Inflow,ARIMA-Individual,Jember,K2000,"ARIMA(1,0,1) with non-zero mean",1
Inflow,ARIMAX-Individual,Jember,K2000,"Regression with ARIMA(0,0,1) errors",1
Inflow,ARIMA-Individual,Jember,K1000,"ARIMA(1,0,2)(1,0,2)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Jember,K1000,"Regression with ARIMA(1,0,1)(1,0,1)[12] errors",1 12
Inflow,ARIMA-Individual,Kediri,K100000,"ARIMA(0,1,2)(0,1,1)[12]",1 12 13
Inflow,ARIMAX-Individual,Kediri,K100000,"Regression with ARIMA(5,0,2)(1,0,0)[12] errors",1 2 3 4 5 12 13 14 15 16 17
Inflow,ARIMA-Individual,Kediri,K50000,"ARIMA(1,1,2)(0,1,0)[12]",1 12 13
Inflow,ARIMAX-Individual,Kediri,K50000,"Regression with ARIMA(2,0,2)(2,0,0)[12] errors",1 2 12 13 14 24 25 26
Inflow,ARIMA-Individual,Kediri,K20000,"ARIMA(1,0,2)(1,0,0)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Kediri,K20000,"Regression with ARIMA(3,0,0)(1,0,1)[12] errors",1 2 3 12 13 14 15
Inflow,ARIMA-Individual,Kediri,K10000,"ARIMA(2,1,2)(0,1,2)[12]",1 3 12 13 15
Inflow,ARIMAX-Individual,Kediri,K10000,"Regression with ARIMA(2,0,3)(1,0,1)[12] errors",1 2 12 13 14
Inflow,ARIMA-Individual,Kediri,K5000,"ARIMA(3,0,2)(1,0,0)[12] with non-zero mean",1 2 3 12 13 14 15
Inflow,ARIMAX-Individual,Kediri,K5000,"Regression with ARIMA(0,0,1)(1,0,0)[12] errors",12
Inflow,ARIMA-Individual,Kediri,K2000,"ARIMA(1,0,1)(1,0,0)[12] with non-zero mean",1 12 13
Inflow,ARIMAX-Individual,Kediri,K2000,"Regression with ARIMA(0,0,1) errors",1
Inflow,ARIMA-Individual,Kediri,K1000,"ARIMA(1,0,2)(1,0,2)[12] with non-zero mean",1 12 13
